 id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
10193,tt0435761,2.711136,200000000,1063171911,Toy Story 3,Tom Hanks|Tim Allen|Ned Beatty|Joan Cusack|Michael Keaton,http://disney.go.com/toystory/,Lee Unkrich,No toy gets left behind.,hostage|college|toy|barbie|animation,"Woody Buzz and the rest of Andy's toys haven't been played with in years. With Andy about to go to college the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",103,Animation|Family|Comedy,Walt Disney Pictures|Pixar Animation Studios,6/16/10,2924,7.5,2010,200000000,1063171911
12155,tt1014759,5.57295,200000000,1025467110,Alice in Wonderland,Mia Wasikowska|Johnny Depp|Anne Hathaway|Helena Bonham Carter|Crispin Glover,http://disney.go.com/wonderland/,Tim Burton,You're invited to a very important date.,based on novel|fictional place|queen|alice in wonderland|fantastic,"Alice an unpretentious and individual 19-year-old is betrothed to a dunce of an English nobleman. At her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland' she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches. Alice realizes that she is there for a reason â€“ to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",108,Family|Fantasy|Adventure,"Walt Disney Pictures|Team Todd|Tim Burton Productions|Roth Films|Zanuck Company The",3/3/10,2853,6.3,2010,200000000,1025467110
12444,tt0926084,4.840588,250000000,954305868,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe|Emma Watson|Rupert Grint|Ralph Fiennes|Helena Bonham Carter,http://www.harrypotter.com,David Yates,One Wayâ€¦ One Fateâ€¦ One Hero.,corruption|isolation|radio|magic|teleportation,"Harry Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose the world is more dangerous than ever.",146,Adventure|Fantasy|Family,Warner Bros.|Heyday Films,10/17/10,3467,7.4,2010,250000000,954305868
27205,tt1375666,9.363643,160000000,825500000,Inception,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,http://inceptionmovie.warnerbros.com/,Christopher Nolan,Your mind is the scene of the crime.,loss of lover|dream|sleep|subconsciousness|heist,"Cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"" the implantation of another person's idea into a target's subconscious.",148,Action|Thriller|Science Fiction|Mystery|Adventure,Legendary Pictures|Warner Bros.|Syncopy,7/14/10,9767,7.9,2010,160000000,825500000
24021,tt1325004,1.546212,68000000,698491347,The Twilight Saga: Eclipse,Kristen Stewart|Robert Pattinson|Taylor Lautner|Ashley Greene|Peter Facinelli,http://eclipsethemovie.com,David Slade,It all begins ... With a choice.,vampire|graduation|immortality|werewolf,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all she is forced to choose between her love for Edward and her friendship with Jacob knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching Bella is confronted with the most important decision of her life.",124,Adventure|Fantasy|Drama|Romance,Summit Entertainment|Maverick Films|Imprint Entertainment|Sunswept Entertainment|Temple Hill Entertainment,6/23/10,1331,5.9,2010,68000000,698491347
10192,tt0892791,1.820934,165000000,752600867,Shrek Forever After,Mike Myers|Eddie Murphy|Cameron Diaz|Antonio Banderas|Julie Andrews,http://www.shrekforeverafter.com/,Mike Mitchell,It ain't Ogre... Til it's Ogre,ogre|3d,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again but when he's duped and sent to a twisted version of Far Far Awayâ€”where Rumpelstiltskin is king ogres are hunted and he and Fiona have never metâ€”he sets out to restore his world and reclaim his true love.",93,Comedy|Adventure|Fantasy|Animation|Family,DreamWorks Animation,5/16/10,1191,6,2010,165000000,752600867
20352,tt1323594,3.791881,69000000,543513985,Despicable Me,Steve Carell|Jason Segel|Russell Brand|Julie Andrews|Will Arnett,http://www.despicable.me/,Pierre Coffin|Chris Renaud,Superbad. Superdad.,adoptive father|orphanage|life's dream|rival|stealing,"In a happy suburban neighbourhood surrounded by white picket fences with flowering rose bushes sits a black house with a dead lawn. Unbeknownst to the neighbours hidden deep beneath this home is a vast secret hideout. Surrounded by an army of tireless little yellow minions we discover Gru planning the biggest heist in the history of the world. He is going to steal the moon (Yes the moon!) to prove to his Mum that he is better than the other super-villains especially the new kid on the block Vector. Gru delights in all things wicked. Armed with his arsenal of shrink rays freeze guns and battle-ready vehicles for land and air he vanquishes all who stand in his way. Until the day he encounters the immense will of three little orphaned girls who look at him and see something that no one else has ever seen: a potential dad.",95,Action|Animation|Family,Universal Pictures|Illumination Entertainment,7/8/10,4851,7.1,2010,69000000,543513985
10138,tt1228705,5.70486,200000000,623933331,Iron Man 2,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,http://www.ironmanmovie.com/,Jon Favreau,"It's not the armor that makes the hero but the man inside.",malibu|marvel comic|comic|superhero|revenge,"With the world now aware of his dual life as the armored superhero Iron Man billionaire inventor Tony Stark faces pressure from the government the press and the public to share his technology with the military. Unwilling to let go of his invention Stark along with Pepper Potts and James ""Rhodey"" Rhodes at his side must forge new alliances - and confront powerful enemies.",124,Adventure|Action|Science Fiction,Marvel Studios,4/28/10,4920,6.6,2010,200000000,623933331
45269,tt1504320,1.385499,15000000,414211549,The King's Speech,Colin Firth|Geoffrey Rush|Helena Bonham Carter|Guy Pearce|Timothy Spall,http://www.kingsspeech.com/,Tom Hooper,Find your voice.,great britain|radio|monarchy|radio transmission|royal family,"The King's Speech tells the story of the man who became King George VI the father of Queen Elizabeth II. After his brother abdicates George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques and as a result of an unlikely friendship Bertie is able to find his voice and boldly lead the country into war.",118,Drama|History,The Weinstein Company|UK Film Council|Bedlam Productions|See-Saw Films|Aegis Film Fund,9/6/10,1688,7.4,2010,15000000,414211549
38757,tt0398286,2.865684,260000000,591794936,Tangled,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey,http://disney.go.com/disneypictures/tangled/,Nathan Greno|Byron Howard,They're taking adventure to new lengths.,hostage|horse|fairy tale|musical|princess,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower he's taken hostage by Rapunzel a beautiful and feisty tower-bound teen with 70 feet of magical golden hair. Flynn's curious captor who's looking for her ticket out of the tower where she's been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade complete with a super-cop horse an over-protective chameleon and a gruff gang of pub thugs.",100,Animation|Family,Walt Disney Pictures|Walt Disney Animation Studios,11/24/10,2019,7.3,2010,260000000,591794936
